worker#,obj-id,open+read-data-time,wrkr-num-objs,mean-obj-time,num-dsets,mean-dset-time,num-workers,obj-type,tot-num-obj,total-runtime
1,1160929018,69.38273923399902,1,69.38273923399902,792,0.08760446872979674,1,shots,100,69.40274541100007
1,1160928017,42.05504981999911,1,42.05504981999911,420,0.10013107099999789,2,shots,100,42.074885892001475
2,1160928017,28.717290733000482,1,28.717290733000482,375,0.07657944195466795,2,shots,100,42.074885892001475
1,1160928013,19.171335551000084,1,19.171335551000084,195,0.09831454128717991,4,shots,100,20.199496186000033
2,1160928013,20.17780134199893,1,20.17780134199893,211,0.09562939024644042,4,shots,100,20.199496186000033
3,1160928013,19.775157313999443,1,19.775157313999443,213,0.09284111415023213,4,shots,100,20.199496186000033
4,1160928013,11.38683848799883,1,11.38683848799883,146,0.07799204443834815,4,shots,100,20.199496186000033
1,chord_radii,8.425363405000098,13,0.6481048773076998,39,0.21603495910256662,8,signals,250,1306.5396005270013
2,chord_radii,7.838146969999798,13,0.6029343823076767,39,0.20097812743589225,8,signals,250,1306.5396005270013
3,chord_radii,7.788786897999671,13,0.5991374536922824,39,0.19971248456409413,8,signals,250,1306.5396005270013
4,chord_radii,6.882367369000349,13,0.5294128745384884,39,0.17647095817949612,8,signals,250,1306.5396005270013
5,chord_radii,7.864581140000155,13,0.604967780000012,39,0.20165592666667065,8,signals,250,1306.5396005270013
6,chord_radii,7.611015017999307,13,0.5854626936922543,39,0.19515423123075146,8,signals,250,1306.5396005270013
7,chord_radii,8.327115932001107,13,0.6405473793847005,39,0.2135157931282335,8,signals,250,1306.5396005270013
8,chord_radii,5.2624851999989914,9,0.5847205777776657,27,0.1949068592592219,8,signals,250,1306.5396005270013
1,z_meter_f_tan,7.2697965540010046,13,0.5592151195385389,26,0.27960755976926943,8,signals,250,1306.5396005270013
2,z_meter_f_tan,8.343862525000077,13,0.6418355788461597,26,0.32091778942307986,8,signals,250,1306.5396005270013
3,z_meter_f_tan,6.800930987999891,13,0.5231485375384531,26,0.26157426876922657,8,signals,250,1306.5396005270013
4,z_meter_f_tan,6.724753743001202,13,0.517288749461631,26,0.2586443747308155,8,signals,250,1306.5396005270013
5,z_meter_f_tan,6.859925685001144,13,0.5276865911539341,26,0.26384329557696706,8,signals,250,1306.5396005270013
6,z_meter_f_tan,7.540146143001039,13,0.5800112417693106,26,0.2900056208846553,8,signals,250,1306.5396005270013
7,z_meter_f_tan,7.792939277000187,13,0.5994568674615528,26,0.2997284337307764,8,signals,250,1306.5396005270013
8,z_meter_f_tan,4.082994212998528,8,0.510374276624816,16,0.255187138312408,8,signals,250,1306.5396005270013
1,z_bright,4.366292357999555,13,0.3358686429230427,26,0.16793432146152135,8,signals,250,1306.5396005270013
2,z_bright,5.461697525999625,13,0.4201305789230481,26,0.21006528946152406,8,signals,250,1306.5396005270013
3,z_bright,4.179005021998819,13,0.32146192476913993,26,0.16073096238456996,8,signals,250,1306.5396005270013
4,z_bright,4.5853608079996775,13,0.35272006215382135,26,0.17636003107691067,8,signals,250,1306.5396005270013
5,z_bright,4.80295961399861,13,0.3694584318460469,26,0.18472921592302344,8,signals,250,1306.5396005270013
6,z_bright,5.089906170000177,13,0.39153124384616744,26,0.19576562192308372,8,signals,250,1306.5396005270013
7,z_bright,4.869142125000508,13,0.3745493942308083,26,0.18727469711540415,8,signals,250,1306.5396005270013
8,z_bright,4.489135236999573,12,0.3740946030832977,24,0.18704730154164886,8,signals,250,1306.5396005270013
1,z_ave,7.821449722001489,13,0.6016499786154992,26,0.3008249893077496,8,signals,250,1306.5396005270013
2,z_ave,7.960814324998864,13,0.6123703326922203,26,0.30618516634611015,8,signals,250,1306.5396005270013
3,z_ave,7.954233435999413,13,0.6118641104614932,26,0.3059320552307466,8,signals,250,1306.5396005270013
4,z_ave,6.703928974000519,13,0.5156868441538861,26,0.25784342207694305,8,signals,250,1306.5396005270013
5,z_ave,7.459324486999321,13,0.5737941913076401,26,0.28689709565382004,8,signals,250,1306.5396005270013
6,z_ave,7.840531458999976,13,0.6031178045384598,26,0.3015589022692299,8,signals,250,1306.5396005270013
7,z_ave,7.623878147000141,13,0.586452165153857,26,0.2932260825769285,8,signals,250,1306.5396005270013
8,z_ave,5.907488412998646,10,0.5907488412998646,20,0.2953744206499323,8,signals,250,1306.5396005270013
1,twopi_foil,7.449342444000649,13,0.5730263418462038,26,0.2865131709231019,8,signals,250,1306.5396005270013
2,twopi_foil,7.5244883930008655,13,0.5788067994616051,26,0.28940339973080254,8,signals,250,1306.5396005270013
3,twopi_foil,6.816732421999404,13,0.5243640324614927,26,0.26218201623074633,8,signals,250,1306.5396005270013
4,twopi_foil,6.3596864539995295,13,0.4892066503076561,26,0.24460332515382804,8,signals,250,1306.5396005270013
5,twopi_foil,7.03153602599923,13,0.5408873866153254,26,0.2704436933076627,8,signals,250,1306.5396005270013
6,twopi_foil,7.079421221998928,13,0.5445708632306867,26,0.27228543161534335,8,signals,250,1306.5396005270013
7,twopi_foil,7.629404981000334,13,0.5868773062307949,26,0.29343865311539746,8,signals,250,1306.5396005270013
8,twopi_foil,6.410253738000392,12,0.5341878115000327,24,0.26709390575001635,8,signals,250,1306.5396005270013
1,gas_b_sd_lo,6.526128928000617,13,0.502009917538509,26,0.2510049587692545,8,signals,250,1306.5396005270013
2,gas_b_sd_lo,7.3566756149994035,13,0.5658981242307234,26,0.2829490621153617,8,signals,250,1306.5396005270013
3,gas_b_sd_lo,7.382123399000193,13,0.567855646076938,26,0.283927823038469,8,signals,250,1306.5396005270013
4,gas_b_sd_lo,6.068657188001453,13,0.46681978369241944,26,0.23340989184620972,8,signals,250,1306.5396005270013
5,gas_b_sd_lo,6.704158291000567,13,0.5157044839231205,26,0.25785224196156026,8,signals,250,1306.5396005270013
6,gas_b_sd_lo,6.802859506999084,13,0.5232968851537757,26,0.26164844257688785,8,signals,250,1306.5396005270013
7,gas_b_sd_lo,6.549899110001206,13,0.5038383930770158,26,0.2519191965385079,8,signals,250,1306.5396005270013
8,gas_b_sd_lo,4.133938468999986,8,0.5167423086249983,16,0.25837115431249913,8,signals,250,1306.5396005270013
1,gas_b_bot,5.228095766999104,13,0.4021612128460849,26,0.20108060642304246,8,signals,250,1306.5396005270013
2,gas_b_bot,4.623002690999783,13,0.35561559161536793,26,0.17780779580768397,8,signals,250,1306.5396005270013
3,gas_b_bot,4.648109669000405,13,0.3575468976154158,26,0.1787734488077079,8,signals,250,1306.5396005270013
4,gas_b_bot,4.227425504999701,13,0.3251865773076693,26,0.16259328865383466,8,signals,250,1306.5396005270013
5,gas_b_bot,5.118873385999905,13,0.3937594912307619,26,0.19687974561538096,8,signals,250,1306.5396005270013
6,gas_b_bot,4.699252106000131,13,0.3614809312307793,26,0.18074046561538964,8,signals,250,1306.5396005270013
7,gas_b_bot,4.567338664999625,13,0.3513337434615096,26,0.1756668717307548,8,signals,250,1306.5396005270013
8,gas_b_bot,2.4995423149994167,8,0.3124427893749271,16,0.15622139468746354,8,signals,250,1306.5396005270013
1,mcp_vis_sig3,9.155026631999135,13,0.7042328178460873,26,0.35211640892304363,8,signals,250,1306.5396005270013
2,mcp_vis_sig3,9.648010526001599,13,0.7421546558462768,26,0.3710773279231384,8,signals,250,1306.5396005270013
3,mcp_vis_sig3,9.198997683000925,13,0.7076152063846866,26,0.3538076031923433,8,signals,250,1306.5396005270013
4,mcp_vis_sig3,8.036651308999353,13,0.6182039468461041,26,0.30910197342305207,8,signals,250,1306.5396005270013
5,mcp_vis_sig3,9.144780976999755,13,0.7034446905384427,26,0.35172234526922136,8,signals,250,1306.5396005270013
6,mcp_vis_sig3,8.735054474000208,13,0.6719272672307852,26,0.3359636336153926,8,signals,250,1306.5396005270013
7,mcp_vis_sig3,9.269298204999359,13,0.7130229388461046,26,0.3565114694230523,8,signals,250,1306.5396005270013
8,mcp_vis_sig3,5.71302965599898,8,0.7141287069998725,16,0.35706435349993626,8,signals,250,1306.5396005270013
1,mcp_vis_sig1,6.191154423000626,13,0.47624264792312504,26,0.23812132396156252,8,signals,250,1306.5396005270013
2,mcp_vis_sig1,6.540687893999348,13,0.5031298379999498,26,0.2515649189999749,8,signals,250,1306.5396005270013
3,mcp_vis_sig1,6.266975680999167,13,0.4820750523845513,26,0.24103752619227564,8,signals,250,1306.5396005270013
4,mcp_vis_sig1,5.403997788000197,13,0.41569213753847667,26,0.20784606876923833,8,signals,250,1306.5396005270013
5,mcp_vis_sig1,5.646836881000127,13,0.43437206776924053,26,0.21718603388462027,8,signals,250,1306.5396005270013
6,mcp_vis_sig1,6.02617932800058,13,0.4635522560000446,26,0.2317761280000223,8,signals,250,1306.5396005270013
7,mcp_vis_sig1,5.897816407999926,13,0.45367818523076353,26,0.22683909261538177,8,signals,250,1306.5396005270013
8,mcp_vis_sig1,3.6802447289992415,8,0.4600305911249052,16,0.2300152955624526,8,signals,250,1306.5396005270013
1,sat_fix,4.399657780999405,13,0.33843521392303116,13,0.33843521392303116,8,signals,250,1306.5396005270013
2,sat_fix,4.6415912020002,13,0.35704547707693846,13,0.35704547707693846,8,signals,250,1306.5396005270013
3,sat_fix,4.733894679000514,13,0.36414574453850107,13,0.36414574453850107,8,signals,250,1306.5396005270013
4,sat_fix,4.083735087000605,13,0.3141334682308158,13,0.3141334682308158,8,signals,250,1306.5396005270013
5,sat_fix,3.8250846679984534,13,0.2942372821537272,13,0.2942372821537272,8,signals,250,1306.5396005270013
6,sat_fix,4.736589632999312,13,0.36435304869225477,13,0.36435304869225477,8,signals,250,1306.5396005270013
7,sat_fix,4.188890942999933,13,0.3222223802307641,13,0.3222223802307641,8,signals,250,1306.5396005270013
8,sat_fix,3.005621942000289,9,0.33395799355558764,9,0.33395799355558764,8,signals,250,1306.5396005270013
1,ha_2_bright,9.627749809998932,13,0.740596139230687,26,0.3702980696153435,8,signals,250,1306.5396005270013
2,ha_2_bright,9.771693516000596,14,0.6979781082857569,28,0.34898905414287845,8,signals,250,1306.5396005270013
